trade_date,ticker,expiration,dte,option_type,contract_symbol,strike,last_price,bid,ask,mid,volume,prev_volume,volume_change,volume_change_pct,open_interest,implied_volatility,last_trade_date,underlying_close,underlying_high,underlying_low,underlying_change_pct,spread_pct,distance_pct,signed_distance_pct,premium_notional,prev_premium_notional,premium_notional_change,premium_notional_change_pct,open_interest_notional,prev_open_interest,oi_change,oi_change_pct,oi_change_notional,volume_oi_ratio,is_monthly,contract_score,expiration_rank,positioning_score,oi_score,confirmation_score,flow_score,liquidity_score,location_score,structure_score,expiration_pref_score,tape_score,raw_rank_score,continuity_days,continuity_score,band_id,band_label,band_low_strike,band_high_strike,band_continuity_days,band_continuity_score,total_score,block_buy_volume,block_sell_volume,block_total_volume,block_net_volume,block_buy_notional,block_sell_notional,block_total_notional,block_net_notional,sweep_count,trade_count,block_score,block_label
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00165000,165.0,12.7,12.7,12.85,12.774999999999999,681.0,849.0,-168.0,-0.1978798586572438,4349.0,0.46143116699218756,2026-03-20 19:59:58+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.011741682974559716,0.04458597037815733,-0.04458597037815733,869977.5,1432687.5,-562710.0,-0.3927653448501505,5555847.499999999,4112.0,237.0,0.05763618677042802,302767.5,0.15658772131524487,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,324000.0,0.0,0.0,2.0,15.2,大单活跃
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00170000,170.0,9.35,9.35,9.45,9.399999999999999,8266.0,3065.0,5201.0,1.696900489396411,14733.0,0.43201251586914063,2026-03-20 19:59:58+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.010638297872340389,0.01563403008658634,-0.01563403008658634,7770039.999999999,4007487.5,3762552.499999999,0.9388806577687389,13849019.999999998,14281.0,452.0,0.031650444646733424,424879.99999999994,0.5610534174981334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.0,0.0,0.0,0.0,2923391.0,0.0,4.0,33.0,66.0,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00175000,175.0,6.49,6.45,6.5,6.475,13809.0,8480.0,5329.0,0.6284198113207548,14595.0,0.4028380029296875,2026-03-20 19:59:58+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.007722007722007695,0.01331791020498465,0.01331791020498465,8941327.5,8162000.0,779327.5,0.09548241852487135,9450262.5,10397.0,4198.0,0.4037703183610657,2718205.0,0.9461459403905447,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6362.0,0.0,0.0,0.0,4975263.0,0.0,27.0,49.0,70.0,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00180000,180.0,4.13,4.15,4.2,4.175000000000001,24616.0,7925.0,16691.0,2.106119873817035,30175.0,0.3803772900390625,2026-03-20 19:59:57+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.011976047904191572,0.04226985049655564,0.04226985049655564,10277180.000000002,5309750.0,4967430.000000002,0.9355299213710631,12598062.500000002,28918.0,1257.0,0.04346773635797773,524797.5000000001,0.8157746478873239,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13655.0,0.0,0.0,0.0,6738508.0,0.0,19.0,86.0,70.0,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00185000,185.0,2.48,2.5,2.54,2.52,21967.0,8560.0,13407.0,1.5662383177570094,44955.0,0.36340968627929693,2026-03-20 19:59:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.015873015873015886,0.07122179078812663,0.07122179078812663,5535684.0,3745000.0,1790684.0,0.4781532710280374,11328660.0,43769.0,1186.0,0.02709680367383308,298872.0,0.48864419975531087,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13344.0,0.0,0.0,0.0,4488432.0,0.0,17.0,59.0,70.0,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00190000,190.0,1.42,1.42,1.45,1.435,13313.0,11454.0,1859.0,0.16230137943076656,50648.0,0.3518131225585937,2026-03-20 19:59:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.020905923344947754,0.10017373107969763,0.10017373107969763,1910415.5000000002,3069671.9999999995,-1159256.4999999993,-0.3776483285510633,7267988.0,48889.0,1759.0,0.03597946368303708,252416.5,0.26285341968093506,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3958.0,0.0,0.0,0.0,683057.0,0.0,0.0,40.0,36.8,大单活跃
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00195000,195.0,0.8,0.79,0.82,0.8049999999999999,14269.0,10064.0,4205.0,0.41782591414944353,34776.0,0.3481510498046875,2026-03-20 19:59:19+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.03726708074534151,0.1291256713712686,0.1291256713712686,1148654.4999999998,1569984.0,-421329.50000000023,-0.268365473788268,2799467.9999999995,32151.0,2625.0,0.08164598301763554,211312.5,0.4103117092247527,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7532.0,0.0,0.0,0.0,716988.0,0.0,27.0,62.0,57.2,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00200000,200.0,0.46,0.46,0.48,0.47,16629.0,9821.0,6808.0,0.6932084309133489,63650.0,0.35156898437499995,2026-03-20 19:59:49+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.042553191489361625,0.1580776116628396,0.1580776116628396,781562.9999999999,869158.5000000001,-87595.50000000023,-0.10078196324375845,2991550.0,64019.0,-369.0,-0.00576391383807932,0.0,0.26125687352710136,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7302.0,0.0,0.0,0.0,447719.0,0.0,20.0,66.0,54.5,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00205000,205.0,0.29,0.28,0.3,0.29000000000000004,1661.0,1720.0,-59.0,-0.03430232558139535,11045.0,0.36084623535156246,2026-03-20 19:57:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.06896551724137917,0.1870295519544106,0.1870295519544106,48169.00000000001,86860.0,-38690.99999999999,-0.4454409394427814,320305.0,10389.0,656.0,0.06314370969294446,19024.0,0.1503847894975102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,0.0,0.0,18164.0,0.0,0.0,5.0,30.2,大单活跃
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00210000,210.0,0.21,0.2,0.21,0.20500000000000002,5144.0,5093.0,51.0,0.010013744354997054,53670.0,0.3764710791015625,2026-03-20 19:59:11+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.04878048780487795,0.2159814922459816,0.2159814922459816,105452.0,150243.5,-44791.5,-0.2981260420583919,1100235.0,54753.0,-1083.0,-0.019779738096542654,0.0,0.09584497857275946,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,0.0,0.0,0.0,59178.0,0.0,11.0,27.0,50.6,密集扫单
