,symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
1,TSM260320C00220000,TSM.US,台积电,C,2026-03-20,2,220.0,345.98,-36.41,121.75,51002,0,51002.0,620949350.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
2,QCOM260417P00195000,QCOM.US,高通,P,2026-04-17,30,195.0,131.59,48.19,57.45,6438,0,6438.0,36986310.0,90.28,True,True,100.0,100.0,0.0,100.0,yfinance
3,MSFT260320P00450000,MSFT.US,微软,P,2026-03-20,2,450.0,399.41,12.67,50.51,24005,0,24005.0,121249255.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
4,AAPL260320P00275000,AAPL.US,苹果,P,2026-03-20,2,275.0,254.23,8.17,21.2,24025,0,24025.0,50933000.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
5,META260320P00700000,META.US,Meta,P,2026-03-20,2,700.0,622.66,12.42,77.55,33232,0,33232.0,257714160.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
6,ORCL260320P00230000,ORCL.US,甲骨文,P,2026-03-20,2,230.0,154.69,48.68,75.35,36604,0,36604.0,275811140.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
7,SPY260320P00670000,SPY.US,SPY,P,2026-03-20,2,670.0,670.79,-0.12,5.3,45077,0,45077.0,23890810.0,0.39,True,True,99.11,99.8,0.0,99.42,yfinance
8,META260320P00690000,META.US,Meta,P,2026-03-20,2,690.0,622.66,10.81,67.55,8239,0,8239.0,55654445.0,0.0,True,True,99.35,99.14,0.0,99.26,yfinance
9,SPY260320P00660000,SPY.US,SPY,P,2026-03-20,2,660.0,670.79,-1.61,2.22,84067,0,84067.0,18662874.0,3.13,True,True,98.51,100.0,0.0,99.18,yfinance
10,TSM260320C00195000,TSM.US,台积电,C,2026-03-20,2,195.0,345.98,-43.64,144.2,27720,0,27720.0,399722400.0,0.0,True,True,98.61,99.07,0.0,98.82,yfinance
11,AAPL260320P00270000,AAPL.US,苹果,P,2026-03-20,2,270.0,254.23,6.2,15.67,19375,0,19375.0,30360625.0,0.0,True,True,98.51,99.01,0.0,98.74,yfinance
12,MSFT260320P00460000,MSFT.US,微软,P,2026-03-20,2,460.0,399.41,15.17,60.9,17672,0,17672.0,107622480.0,0.0,True,True,98.9,98.53,0.0,98.73,yfinance
13,SPY260417P00640000,SPY.US,SPY,P,2026-04-17,30,640.0,670.79,-4.59,6.35,26452,0,26452.0,16797020.0,3.13,True,True,98.21,99.21,0.0,98.66,yfinance
14,NVDA260410C00190000,NVDA.US,英伟达,C,2026-04-10,23,190.0,181.93,4.44,3.29,59699,0,59699.0,19640971.0,3.13,True,True,97.62,98.89,0.0,98.19,yfinance
15,META260320P00710000,META.US,Meta,P,2026-03-20,2,710.0,622.66,14.03,87.65,4492,0,4492.0,39372380.0,0.0,True,True,98.06,97.0,0.0,97.58,yfinance
16,SPY260320P00672000,SPY.US,SPY,P,2026-03-20,2,672.0,670.79,0.18,6.21,18941,0,18941.0,11762361.0,0.0,True,True,97.32,97.62,0.0,97.46,yfinance
17,TSLA260320P500000.US,TSLA.US,特斯拉,P,2026-03-20,2,500.0,399.27,25.23,101.12,37790,3366,11.224,384097690.0,125.3,True,True,100.0,93.83,0.0,97.22,longbridge
18,TSM260320C00165000,TSM.US,台积电,C,2026-03-20,2,165.0,345.98,-52.31,175.55,12740,0,12740.0,223650700.0,0.0,True,True,97.22,97.22,0.0,97.22,yfinance
19,ORCL260320P00250000,ORCL.US,甲骨文,P,2026-03-20,2,250.0,154.69,61.61,96.15,12205,0,12205.0,117351075.0,0.0,True,True,98.31,95.45,0.0,97.02,yfinance
20,AMD260320C00200000,AMD.US,AMD,C,2026-03-20,2,200.0,196.31,1.88,2.38,24189,0,24189.0,5756982.0,6.25,True,True,94.52,100.0,0.0,96.99,yfinance
21,MSFT260320P00480000,MSFT.US,微软,P,2026-03-20,2,480.0,399.41,20.18,80.86,13283,0,13283.0,107406338.0,0.0,True,True,97.8,95.59,0.0,96.81,yfinance
22,META260320P00750000,META.US,Meta,P,2026-03-20,2,750.0,622.66,20.45,127.42,4002,0,4002.0,50993484.0,0.0,True,True,98.71,94.42,0.0,96.78,yfinance
23,SPY260515P00640000,SPY.US,SPY,P,2026-05-15,58,640.0,670.79,-4.59,10.75,11897,0,11897.0,12789275.0,3.13,True,True,97.62,95.44,0.0,96.64,yfinance
24,ORCL260320P00220000,ORCL.US,甲骨文,P,2026-03-20,2,220.0,154.69,42.22,66.23,12560,0,12560.0,83184880.0,0.0,True,True,96.61,96.59,0.0,96.6,yfinance
