,symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
52,TSM260320C00230000,TSM.US,台积电,C,2026-03-20,2,230.0,345.98,-33.52,112.4,11022,0,11022.0,123887280.0,0.0,True,True,91.67,96.3,0.0,93.75,yfinance
53,AVGO260320P00370000,AVGO.US,博通,P,2026-03-20,2,370.0,321.31,15.15,49.94,2743,0,2743.0,13698542.0,0.0,True,True,97.7,88.55,0.0,93.58,yfinance
54,AVGO260320P00312500,AVGO.US,博通,P,2026-03-20,2,312.5,321.31,-2.74,2.53,10102,0,10102.0,2555806.0,6.25,True,True,88.51,98.47,0.0,92.99,yfinance
55,QCOM260320P00160000,QCOM.US,高通,P,2026-03-20,2,160.0,131.59,21.59,27.65,4290,0,4290.0,11861850.0,0.0,True,True,91.67,94.34,0.0,92.87,yfinance
56,AMD260320C00197500,AMD.US,AMD,C,2026-03-20,2,197.5,196.31,0.61,3.46,8063,0,8063.0,2789798.0,1.56,True,True,89.04,97.25,0.0,92.73,yfinance
57,AAPL260320P270000.US,AAPL.US,苹果,P,2026-03-20,2,270.0,254.23,6.2,15.67,19375,6272,3.089,31149429.0,27.6,True,True,97.5,86.83,0.0,92.7,longbridge
58,AMD260417C00200000,AMD.US,AMD,C,2026-04-17,30,200.0,196.31,1.88,9.65,6289,0,6289.0,6068885.0,1.56,True,True,95.89,88.07,0.0,92.37,yfinance
59,ORCL260320P00260000,ORCL.US,甲骨文,P,2026-03-20,2,260.0,154.69,68.08,106.23,5940,0,5940.0,63100620.0,0.0,True,True,94.92,88.64,0.0,92.09,yfinance
60,NVDA260320P00180000,NVDA.US,英伟达,P,2026-03-20,2,180.0,181.93,-1.06,1.76,40187,0,40187.0,7072912.0,3.13,True,True,89.29,95.24,0.0,91.97,yfinance
61,TSLA260320P460000.US,TSLA.US,特斯拉,P,2026-03-20,2,460.0,399.27,15.21,61.12,12434,386,32.129,76815670.0,85.8,True,True,97.5,84.0,0.0,91.43,longbridge
62,AMD260320P00197500,AMD.US,AMD,P,2026-03-20,2,197.5,196.31,0.61,4.4,6735,0,6735.0,2963400.0,0.0,True,True,91.78,90.83,0.0,91.35,yfinance
63,NVDA260320C00180000,NVDA.US,英伟达,C,2026-03-20,2,180.0,181.93,-1.06,3.83,22978,0,22978.0,8800574.0,0.0,True,True,91.67,90.48,0.0,91.13,yfinance
64,QCOM260320P00190000,QCOM.US,高通,P,2026-03-20,2,190.0,131.59,44.39,55.35,2145,0,2145.0,11872575.0,0.0,True,True,94.44,86.79,0.0,91.0,yfinance
65,AAPL260320P272500.US,AAPL.US,苹果,P,2026-03-20,2,272.5,254.23,7.19,18.55,5144,424,12.104,9582882.0,49.7,True,True,95.0,85.83,0.0,90.87,longbridge
66,AVGO260320C00332500,AVGO.US,博通,C,2026-03-20,2,332.5,321.31,3.48,1.54,12826,0,12826.0,1975204.0,6.25,True,True,83.91,99.24,0.0,90.81,yfinance
67,AVGO260320P00400000,AVGO.US,博通,P,2026-03-20,2,400.0,321.31,24.49,79.93,1880,0,1880.0,15026840.0,0.0,True,True,98.85,80.92,0.0,90.78,yfinance
68,NVDA260320P00240000,NVDA.US,英伟达,P,2026-03-20,2,240.0,181.93,31.92,57.6,11873,0,11873.0,68388480.0,0.0,True,True,100.0,79.37,0.0,90.72,yfinance
69,QCOM260320P00155000,QCOM.US,高通,P,2026-03-20,2,155.0,131.59,17.79,23.15,4000,0,4000.0,9260000.0,0.0,True,True,88.89,92.45,0.0,90.49,yfinance
70,ORCL260320P00210000,ORCL.US,甲骨文,P,2026-03-20,2,210.0,154.69,35.76,57.35,5990,0,5990.0,34352650.0,0.0,True,True,89.83,89.77,0.0,89.8,yfinance
71,AAPL260320P280000.US,AAPL.US,苹果,P,2026-03-20,2,280.0,254.23,10.14,26.06,2860,226,12.599,7413463.0,64.6,True,True,92.5,81.5,0.0,87.55,longbridge
72,ORCL260320P00270000,ORCL.US,甲骨文,P,2026-03-20,2,270.0,154.69,74.54,116.29,3895,0,3895.0,45294955.0,0.0,True,True,91.53,80.68,0.0,86.65,yfinance
73,TSLA260320P470000.US,TSLA.US,特斯拉,P,2026-03-20,2,470.0,399.27,17.71,71.12,6755,157,42.753,48517535.0,96.3,True,True,95.0,75.67,0.0,86.3,longbridge
74,QCOM260320P00180000,QCOM.US,高通,P,2026-03-20,2,180.0,131.59,36.79,48.07,1610,0,1610.0,7739270.0,0.0,True,True,86.11,84.91,0.0,85.57,yfinance
75,TSLA260320C380000.US,TSLA.US,特斯拉,C,2026-03-20,2,380.0,399.27,-4.83,20.38,17501,2329,7.511,33664191.0,43.9,True,True,82.5,84.5,0.0,83.4,longbridge
76,AAPL260320C255000.US,AAPL.US,苹果,C,2026-03-20,2,255.0,254.23,0.3,2.1,16409,10743,1.527,3603214.0,24.8,True,True,85.0,75.5,0.0,80.73,longbridge
77,TSLA260320P410000.US,TSLA.US,特斯拉,P,2026-03-20,2,410.0,399.27,2.69,12.4,23561,6586,3.577,32575110.0,36.6,True,True,80.0,81.33,0.0,80.6,longbridge
78,AAPL260320P252500.US,AAPL.US,苹果,P,2026-03-20,2,252.5,254.23,-0.68,1.67,6090,4289,1.42,1110840.0,25.8,True,True,72.5,68.83,0.0,70.85,longbridge
