symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
CORT260515P00040000,CORT.US,CORT,P,2026-05-15,58,40.0,33.51,19.37,7.19,50,0,50.0,35950.0,0.0,True,True,71.43,100.0,0.0,84.29,yfinance
STX260417C00400000,STX.US,STX,C,2026-04-17,30,400.0,421.09,-5.01,44.0,63,0,63.0,277200.0,0.0,True,True,86.96,80.88,0.0,84.22,yfinance
MSTR260327C00140000,MSTR.US,MSTR,C,2026-03-27,9,140.0,150.28,-6.84,13.23,1206,0,1206.0,1595538.0,0.0,True,True,89.39,77.78,0.0,84.17,yfinance
MSTR260327P00150000,MSTR.US,MSTR,P,2026-03-27,9,150.0,150.28,-0.19,6.4,1922,0,1922.0,1230080.0,0.39,True,True,83.33,84.85,0.0,84.01,yfinance
CYTK260515C00095000,CYTK.US,CYTK,C,2026-05-15,58,95.0,62.13,52.91,3.0,1500,0,1500.0,450000.0,25.0,True,True,80.0,87.5,0.0,83.38,yfinance
PATH260515C00012000,PATH.US,PATH,C,2026-05-15,58,12.0,11.98,0.17,1.21,708,0,708.0,85668.0,0.2,True,True,87.5,77.78,0.0,83.13,yfinance
FSLR260327P00255000,FSLR.US,FSLR,P,2026-03-27,9,255.0,200.42,27.23,56.15,42,0,42.0,235830.0,0.0,True,True,90.91,73.47,0.0,83.06,yfinance
JBL260417C260000.US,JBL.US,JBL,C,2026-04-17,30,260.0,262.35,-0.9,16.63,26,19,1.3,43060.0,48.7,True,True,92.11,71.96,0.0,83.04,longbridge
KTOS260327C00100000,KTOS.US,KTOS,C,2026-03-27,9,100.0,95.31,4.92,3.1,213,0,213.0,66030.0,6.25,True,True,70.59,98.04,0.0,82.94,yfinance
PDD260410P00103000,PDD.US,PDD,P,2026-04-10,23,103.0,104.37,-1.31,4.25,519,0,519.0,220575.0,1.56,True,True,78.57,87.8,0.0,82.72,yfinance
GME260417C00024000,GME.US,GME,C,2026-04-17,30,24.0,23.59,1.74,1.16,1067,0,1067.0,123772.0,1.56,True,True,84.0,81.08,0.0,82.69,yfinance
UBER260417P00067500,UBER.US,UBER,P,2026-04-17,30,67.5,77.79,-13.23,0.57,6263,0,6263.0,356991.0,12.5,True,True,74.07,92.68,0.0,82.44,yfinance
UBER260417C00085000,UBER.US,UBER,C,2026-04-17,30,85.0,77.79,9.27,0.91,3988,0,3988.0,362908.0,6.25,True,True,77.78,87.8,0.0,82.29,yfinance
SO260417C00100000,SO.US,SO,C,2026-04-17,30,100.0,98.27,1.76,1.5,134,0,134.0,20100.0,1.56,True,True,71.43,95.24,0.0,82.14,yfinance
DVN260417C00052500,DVN.US,DVN,C,2026-04-17,30,52.5,47.42,10.71,0.57,1147,0,1147.0,65379.0,6.25,True,True,70.59,96.15,0.0,82.09,yfinance
DOCU260417P00037500,DOCU.US,DOCU,P,2026-04-17,30,37.5,47.54,-21.12,0.63,1131,0,1131.0,71253.0,25.0,True,True,70.59,96.0,0.0,82.02,yfinance
JBL260417P300000.US,JBL.US,JBL,P,2026-04-17,30,300.0,262.35,14.35,41.44,10,0,10.0,41440.0,54.0,True,True,89.47,72.68,0.0,81.91,longbridge
MSTR260515C00180000,MSTR.US,MSTR,C,2026-05-15,58,180.0,150.28,19.78,7.2,1599,0,1599.0,1151280.0,12.5,True,True,80.3,83.84,0.0,81.89,yfinance
STX260417C00310000,STX.US,STX,C,2026-04-17,30,310.0,421.09,-26.38,104.37,51,0,51.0,532287.0,0.0,True,True,93.48,67.65,0.0,81.86,yfinance
SO260402C00095000,SO.US,SO,C,2026-04-02,15,95.0,98.27,-3.33,4.26,66,0,66.0,28116.0,0.0,True,True,78.57,85.71,0.0,81.78,yfinance
TMHC260417P55000.US,TMHC.US,TMHC,P,2026-04-17,30,55.0,60.15,-8.56,0.97,10,42,0.233,970.0,43.3,True,True,66.67,100.0,0.0,81.67,longbridge
AMP260417P00440000,AMP.US,AMP,P,2026-04-17,30,440.0,437.94,0.47,16.7,83,0,83.0,138610.0,0.0,True,True,66.67,100.0,0.0,81.67,yfinance
KTOS260515C00090000,KTOS.US,KTOS,C,2026-05-15,58,90.0,95.31,-5.57,14.68,72,0,72.0,105696.0,0.0,True,True,97.06,62.75,0.0,81.62,yfinance
FSLR260515P00220000,FSLR.US,FSLR,P,2026-05-15,58,220.0,200.42,9.77,30.08,45,0,45.0,135360.0,0.0,True,True,84.85,77.55,0.0,81.56,yfinance
PHM260424P00136000,PHM.US,PHM,P,2026-04-24,37,136.0,121.96,11.51,15.15,17,0,17.0,25755.0,0.0,True,True,100.0,57.89,0.0,81.05,yfinance
