symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
MCW260417P00007500,MCW.US,MCW,P,2026-04-17,30,7.5,6.96,7.76,0.45,41,51,0.788,1845.0,28.52,True,True,100.0,100.0,0.0,100.0,yfinance
TWO260417C00010000,TWO.US,TWO,C,2026-04-17,30,10.0,9.53,4.93,0.55,5889,84,69.282,323895.0,69.53,True,True,100.0,100.0,0.0,100.0,yfinance
SEM260417P00015000,SEM.US,SEM,P,2026-04-17,30,15.0,16.25,-7.69,0.05,1,92,0.011,5.0,21.88,True,True,100.0,100.0,0.0,100.0,yfinance
KNF260515C00055000,KNF.US,KNF,C,2026-05-15,58,55.0,82.41,-33.26,16.31,7,6,1.0,11417.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
GPK260417P10000.US,GPK.US,GPK,P,2026-04-17,30,10.0,9.6,4.17,0.8,87,401,0.216,6960.0,53.8,True,True,100.0,100.0,0.0,100.0,longbridge
GIS260417P35000.US,GIS.US,GIS,P,2026-04-17,30,35.0,37.59,-6.89,0.53,9139,512,17.815,372436.0,36.6,True,True,100.0,100.0,0.0,100.0,longbridge
HUBB260417C00490000,HUBB.US,HUBB,C,2026-04-17,30,490.0,477.47,2.62,11.0,60,2,20.0,66000.0,38.59,True,True,100.0,100.0,0.0,100.0,yfinance
ABCB260417P90000.US,ABCB.US,ABCB,P,2026-04-17,30,90.0,74.04,21.56,16.05,1,0,1.0,1605.0,49.3,True,True,100.0,100.0,0.0,100.0,longbridge
TPH260417P50000.US,TPH.US,TPH,P,2026-04-17,30,50.0,46.58,7.34,3.42,5,5,0.833,1710.0,21.6,True,True,100.0,100.0,0.0,100.0,longbridge
SIG260417P00145000,SIG.US,SIG,P,2026-04-17,30,145.0,78.77,84.08,45.0,101,0,101.0,454500.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
HQY260417P00075000,HQY.US,HQY,P,2026-04-17,30,75.0,79.57,-5.74,1.98,47,8,5.222,9306.0,67.02,True,True,100.0,100.0,0.0,100.0,yfinance
CALX260417C00057500,CALX.US,CALX,C,2026-04-17,30,57.5,51.0,12.75,0.8,125,22,5.435,10000.0,57.3,True,True,100.0,100.0,0.0,100.0,yfinance
SLAB260417C00175000,SLAB.US,SLAB,C,2026-04-17,30,175.0,205.73,-14.94,34.0,40,1,20.0,136000.0,37.94,True,True,100.0,100.0,0.0,100.0,yfinance
MASI260417P170000.US,MASI.US,MASI,P,2026-04-17,30,170.0,176.07,-3.45,0.13,25,133,0.187,269.0,9.1,True,True,100.0,100.0,0.0,100.0,longbridge
WDC260417C00380000,WDC.US,WDC,C,2026-04-17,30,380.0,304.9,24.63,6.06,3517,194,18.036,2131302.0,75.68,True,True,100.0,97.97,0.0,99.09,yfinance
PGR260515C00150000,PGR.US,PGR,C,2026-05-15,58,150.0,201.17,-25.44,77.0,65,0,65.0,500500.0,101.7,True,True,100.0,96.96,0.0,98.63,yfinance
LUMN260327C00003000,LUMN.US,LUMN,C,2026-03-27,9,3.0,6.56,-54.27,3.65,501,3,125.25,182865.0,339.06,True,True,100.0,96.82,0.0,98.57,yfinance
PDD260515C00130000,PDD.US,PDD,C,2026-05-15,58,130.0,100.72,29.07,1.13,38128,4861,7.842,4308464.0,50.27,True,True,100.0,94.15,0.0,97.37,yfinance
AMT260515P175000.US,AMT.US,AMT,P,2026-05-15,58,175.0,180.69,-3.15,5.7,29,63,0.453,16880.0,31.2,True,True,100.0,94.0,0.0,97.3,longbridge
