,symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score
1,TSLA260320P500000.US,TSLA.US,特斯拉,P,2026-03-20,2,500.0,399.27,25.23,101.12,37790,3366,11.224,384097690.0,125.3,True,True,100.0,93.83,0.0,97.22
2,TSLA260320C390000.US,TSLA.US,特斯拉,C,2026-03-20,2,390.0,399.27,-2.32,12.0,42689,2838,15.037,48158643.0,40.9,True,True,92.5,96.5,0.0,94.3
3,TSLA260320P460000.US,TSLA.US,特斯拉,P,2026-03-20,2,460.0,399.27,15.21,61.12,12434,386,32.129,76815670.0,85.8,True,True,97.5,84.0,0.0,91.43
4,TSLA260320P470000.US,TSLA.US,特斯拉,P,2026-03-20,2,470.0,399.27,17.71,71.12,6755,157,42.753,48517535.0,96.3,True,True,95.0,75.67,0.0,86.3
5,TSLA260320C380000.US,TSLA.US,特斯拉,C,2026-03-20,2,380.0,399.27,-4.83,20.38,17501,2329,7.511,33664191.0,43.9,True,True,82.5,84.5,0.0,83.4
6,TSLA260320P410000.US,TSLA.US,特斯拉,P,2026-03-20,2,410.0,399.27,2.69,12.4,23561,6586,3.577,32575110.0,36.6,True,True,80.0,81.33,0.0,80.6
