ticker,expiration,direction_side,bias_label,side_oi_total,side_volume_total,side_amount_total,side_oi_change,side_volume_change,side_amount_change,opp_oi_total,opp_volume_total,opp_amount_total,expiration_score
NVDA,2026-04-17,C,Call 偏强,561854.0,74661.0,34732433.5,0.0,74661.0,34732433.5,453739.0,78579.0,24561092.5,90.0
NVDA,2026-05-15,C,Call 偏强,484742.0,38248.0,21746648.0,0.0,38248.0,21746648.0,374863.0,21764.0,15364671.5,64.15
NVDA,2026-07-17,C,Call 偏强,107319.0,10101.0,9609937.0,0.0,10101.0,9609937.0,208871.0,5974.0,5259231.5,17.51
TSLA,2026-04-17,P,Put 偏强,155036.0,70899.0,461492470.5,0.0,70899.0,461492470.5,159011.0,53908.0,33375662.0,90.0
TSLA,2026-05-15,P,Put 偏强,144638.0,15523.0,32767528.5,0.0,15523.0,32767528.5,208576.0,25545.0,29181025.5,48.88
TSLA,2026-07-17,P,Put 偏强,57750.0,6742.0,10801179.5,0.0,6742.0,10801179.5,67657.0,5310.0,8367031.5,19.61
