ticker,expiration,direction_side,bias_label,side_oi_total,side_volume_total,side_amount_total,side_oi_change,side_volume_change,side_amount_change,opp_oi_total,opp_volume_total,opp_amount_total,expiration_score
NVDA,2026-04-17,C,Call 偏强,549381.0,132315.0,48452174.0,10557.0,58050.0,15972090.5,465500.0,83669.0,39723959.0,100.0
NVDA,2026-05-15,C,Call 偏强,471853.0,81900.0,39195858.5,8877.0,43832.0,17680970.5,365805.0,34994.0,24881133.0,78.71
NVDA,2026-07-17,C,Call 偏强,104424.0,13416.0,11207629.5,5955.0,3466.0,1733987.5000000005,205020.0,11106.0,8879379.0,21.36
TSLA,2026-04-17,C,Call 偏强,156108.0,68098.0,35022358.5,9294.0,15491.0,3258238.5,152545.0,47017.0,207891770.0,96.89
TSLA,2026-05-15,C,Call 偏强,165321.0,26010.0,25138054.5,9892.0,1618.0,-3711906.999999999,130559.0,16011.0,32780556.0,78.9
TSLA,2026-07-17,C,Call 偏强,50679.0,5508.0,7655241.5,986.0,910.0,-99005.49999999977,52501.0,5328.0,13345820.0,21.19
